"","intercept_pval","mean_pval"
"FA_desaturase",0.124859632950636,0.269188417339305
"DEDD_Tnp_IS110",0.140148078733138,0.231247465142761
"std",0.146869118413317,0.0184106732464618
"Sulfate_transp",0.160631104114343,0.691113363129841
"Aminoglyc_resit",0.160631104114343,0.691113363129841
"Fst_toxin",0.160631104114343,0.691113363129841
"SAP",0.160631104114343,0.691113363129841
"DUF771",0.160631104114343,0.691113363129841
"SNF2_N",0.160631104114343,0.691113363129841
"PAS_9",0.160631104114343,0.691113363129841
"Abhydrolase_6",0.160631104114343,0.691113363129841
"Peptidase_C92",0.160631104114343,0.691113363129841
"AP2",0.160631104114343,0.691113363129841
"HTH_Tnp_1_2",0.160631104114343,0.691113363129841
"NUMOD4",0.160631104114343,0.691113363129841
"DUF1071",0.160631104114343,0.691113363129841
"AntA",0.160631104114343,0.691113363129841
"DUF1641",0.160631104114343,0.691113363129841
"Fer2_4",0.160631104114343,0.691113363129841
"NADH.G_4Fe.4S_3",0.160631104114343,0.691113363129841
"Fer4",0.160631104114343,0.691113363129841
"Fer4_7",0.160631104114343,0.691113363129841
"Molybdop_Fe4S4",0.160631104114343,0.691113363129841
"SUKH_6",0.160631104114343,0.691113363129841
"WHH",0.160631104114343,0.691113363129841
"DUF5084",0.160631104114343,0.691113363129841
"DUF5083",0.160631104114343,0.691113363129841
"PT.TG",0.160631104114343,0.691113363129841
"DUF5081",0.160631104114343,0.691113363129841
"WXG100",0.160631104114343,0.691113363129841
"FtsK_SpoIIIE_N",0.160631104114343,0.691113363129841
"YukC",0.160631104114343,0.691113363129841
"YukD",0.160631104114343,0.691113363129841
"EssA",0.160631104114343,0.691113363129841
"DUF5067",0.160631104114343,0.691113363129841
"MazG.like",0.160631104114343,0.691113363129841
"AlbA_2",0.160631104114343,0.691113363129841
"HATPase_c_4",0.160631104114343,0.691113363129841
"KorB",0.160631104114343,0.691113363129841
"Rib",0.160631104114343,0.691113363129841
"TetR_C_5",0.166298020376021,0.396846706977562
"DUF3578",0.166298020376021,0.396846706977562
"DUF3387",0.166298020376021,0.396846706977562
"TetR_C_8",0.166298020376021,0.396846706977562
"MMPL",0.166298020376021,0.396846706977562
"ANT",0.166298020376021,0.396846706977562
"DUF3847",0.166298020376021,0.396846706977562
"MobA_MobL",0.166298020376021,0.396846706977562
"RepL",0.166298020376021,0.396846706977562
"KNTase_C",0.166298020376021,0.396846706977562
"G5",0.411389809846061,0.363099413922928
"Cons_hypoth698",0.454289764055111,0.409149266243373
"DUF4238",0.59133873961951,0.538098875409778
"Lar_restr_allev",0.59133873961951,0.538098875409778
"YopX",0.59133873961951,0.538098875409778
"DUF1064",0.59133873961951,0.538098875409778
"HTH_36",0.59133873961951,0.538098875409778
"HTH_19",0.59133873961951,0.538098875409778
"HNH_2",0.59133873961951,0.538098875409778
"VanY",0.59133873961951,0.538098875409778
"DUF4352",0.59133873961951,0.538098875409778
"DUF4065",0.59133873961951,0.538098875409778
"HSDR_N",0.59133873961951,0.538098875409778
"Methylase_S",0.59133873961951,0.538098875409778
"HsdM_N",0.59133873961951,0.538098875409778
"Pox_D5",0.59133873961951,0.538098875409778
"Peptidase_G2",0.59133873961951,0.538098875409778
"DUF3168",0.59133873961951,0.538098875409778
"Phage_GP20",0.59133873961951,0.538098875409778
"DUF1024",0.59133873961951,0.538098875409778
"Phage_pRha",0.59133873961951,0.538098875409778
"ADPrib_exo_Tox",0.59133873961951,0.538098875409778
"DsbD",0.59133873961951,0.538098875409778
"HTH_15",0.59133873961951,0.538098875409778
"MerB",0.59133873961951,0.538098875409778
"X2.Hacid_dh",0.59133873961951,0.538098875409778
"DUF1002",0.59133873961951,0.538098875409778
"Acetyltransf_8",0.59133873961951,0.538098875409778
"Transposase_mut",0.59133873961951,0.538098875409778
"MobC",0.59133873961951,0.538098875409778
"Rep_2",0.59133873961951,0.538098875409778
"RHH_1",0.59133873961951,0.538098875409778
"SasG_E",0.59133873961951,0.538098875409778
"Flavodoxin_2",0.59164365465355,0.273523056489728
"SH3_5",0.59164365465355,0.273523056489728
"Phage_holin_1",0.59164365465355,0.273523056489728
"DUF1093",0.59164365465355,0.273523056489728
"ABC2_membrane_2",0.59164365465355,0.273523056489728
"Fic",0.653139909888435,0.0712452999181802
"dUTPase_2",0.653139909888435,0.0712452999181802
"RecT",0.653139909888435,0.0712452999181802
"DUF739",0.653139909888435,0.0712452999181802
"Phage_H_T_join",0.653139909888435,0.0712452999181802
"TypeIII_RM_meth",0.653139909888435,0.0712452999181802
"N6_N4_Mtase",0.653139909888435,0.0712452999181802
"SEFIR",0.653139909888435,0.0712452999181802
"KdpD",0.653139909888435,0.0712452999181802
"DUF4118",0.653139909888435,0.0712452999181802
"KdpA",0.653139909888435,0.0712452999181802
"KdpC",0.653139909888435,0.0712452999181802
"SecB",0.653139909888435,0.0712452999181802
"AAA_19",0.781484834101413,0.769597126645233
"AAA_15",0.781484834101413,0.769597126645233
"DUF4865",0.781484834101413,0.769597126645233
"Plug",0.994254699585795,0.464867132907344
"DUF2513",0.994254699585795,0.464867132907344
"MutH",0.994254699585795,0.464867132907344
"DNA_methylase",0.994254699585795,0.464867132907344
"DUF87",0.994254699585795,0.464867132907344
"DUF697",0.994254699585795,0.464867132907344
"Gallidermin",0.994254699585795,0.464867132907344
"Lant_dehydr_N",0.994254699585795,0.464867132907344
"Lant_dehydr_C",0.994254699585795,0.464867132907344
"LANC_like",0.994254699585795,0.464867132907344
"Peptidase_S8",0.994254699585795,0.464867132907344
"OrfB_Zn_ribbon",0.994254699585795,0.464867132907344
"YoeB_toxin",0.994254699585795,0.464867132907344
"PhdYeFM_antitox",0.994254699585795,0.464867132907344
"rve_3",0.994254699585795,0.464867132907344
"Gp49",0.994254699585795,0.464867132907344
"DUF2268",0.994254699585795,0.464867132907344
